Timestamp,Expertise,Song 1:,Song 2:,Song 3:,Song 4:,Song 5:,Song 6:,Song 7:,Song 8:,Song 9:,Song 10:
04/04/2025 16:44:09,Novice,2,3,2,7,4,6,1,7,3,5
04/04/2025 16:59:10,Novice,2,2,3,8,1,4,1,7,3,2
04/04/2025 17:00:23,Novice,6,6,5,5,6,6,4,5,4,7
04/04/2025 17:01:20,Novice,4,4,5,5,4,7,5,5,5,4
04/04/2025 17:02:01,Novice,3,6,5,5,2,5,2,7,4,7
04/04/2025 17:02:44,Novice,4,5,4,4,4,3,6,6,6,4
04/04/2025 17:03:28,Novice,3,5,4,5,6,6,4,7,5,2
04/04/2025 17:04:01,Novice,5,4,3,5,5,3,2,7,5,6
04/04/2025 17:04:57,Intermediate,8,2,3,8,2,5,7,8,3,1
04/04/2025 17:05:56,Intermediate,6,2,3,8,8,8,9,6,3,2
04/04/2025 17:06:50,Advanced,9,2,2,8,2,7,9,10,2,1
